ticker,name,volume,price,change,date
ABBEYBDS,Abbey Mortgage Bank Plc,4854.0,2.5,0.0,2024-04-25
ABCTRANS,Associated Bus Company,24781.0,0.71,0.0,2024-04-25
ACADEMY,Academy Press,20.0,1.91,0.0,2024-04-25
ACCESSCORP,Access Holdings Plc,22300777.0,16.05,0.0,2024-04-25
AFRINSURE,African Alliance Insurance,3297926.3,0.2,,2024-04-25
AFRIPRUD,Africa Prudential Plc,694124.0,6.0,0.25,2024-04-25
AFROMEDIA,Afromedia Plc,3297926.3,0.24,,2024-04-25
AIICO,Aiico Insurance Plc,4127132.0,1.0,-0.02,2024-04-25
AIRTELAFRI,Airtel Africa Plc,1358.0,2200.0,0.0,2024-04-25
ALEX,Aluminium Extrusion Industries,1000.0,7.15,0.0,2024-04-25
ARBICO,Arbico Plc,3297926.3,1.03,,2024-04-25
ASOSAVINGS,Aso Savings & Loans,3297926.3,0.5,,2024-04-25
AUSTINLAZ,Austin Laz & Company,1005.0,2.03,0.0,2024-04-25
BAPLC,Briclinks Africa Plc,3297926.3,6.25,,2024-04-25
BERGER,Berger Paints,79942.0,15.2,0.0,2024-04-25
BETAGLAS,Beta Glass Company,6386.0,59.4,0.0,2024-04-25
BUACEMENT,BUA Cement Plc,14374.0,143.2,0.0,2024-04-25
BUAFOODS,BUA Foods,2075.0,379.9,0.0,2024-04-25
CADBURY,Cadbury Nigeria,83862.0,19.0,0.0,2024-04-25
CAP,CAP Plc,382346.0,28.85,2.6,2024-04-25
CAPOIL,Capital Oil Plc,3297926.3,0.2,,2024-04-25
CAVERTON,Caverton Offshore Support Group,213934.0,1.55,0.0,2024-04-25
CHAMPION,Champion Breweries,244820.0,3.68,0.0,2024-04-25
CHAMS,Chams Plc,5695058.0,1.68,0.0,2024-04-25
CHELLARAM,Chellarams Plc,3297926.3,4.1,,2024-04-25
CILEASING,C&I Leasing Plc,15100.0,3.7,0.0,2024-04-25
CONHALLPLC,Consolidated Hallmark Holdings,284171.0,1.28,0.0,2024-04-25
CONOIL,Conoil Plc,325.0,90.9,0.0,2024-04-25
CORNERST,Cornerstone Insurance Company,287028.0,1.85,-0.08,2024-04-25
CUSTODIAN,Custodian & Allied Plc,412299.0,9.0,0.4,2024-04-25
CUTIX,Cutix Plc,1311609.0,3.0,0.25,2024-04-25
CWG,Computer Warehouse Group,3543.0,5.75,0.0,2024-04-25
DAARCOMM,Daar Communications,3297926.3,0.69,,2024-04-25
DANGCEM,Dangote Cement,11349.0,656.7,0.0,2024-04-25
DANGSUGAR,Dangote Sugar Refinery,137303.0,48.0,0.0,2024-04-25
DEAPCAP,Deap Capital Management & Trust,3810.0,0.63,0.0,2024-04-25
DUNLOP,DN Tyre & Rubber Plc,3297926.3,0.2,,2024-04-25
EKOCORP,Ekocorp Plc,3297926.3,5.79,,2024-04-25
ELLAHLAKES,Ellah Lakes Plc,716828.0,3.3,0.15,2024-04-25
ENAMELWA,Nigerian Enamelware Plc,15.0,19.3,0.0,2024-04-25
ETERNA,Eterna Plc,120655.0,15.25,0.0,2024-04-25
ETI,Ecobank Transnational Inc,122367.0,26.0,0.0,2024-04-25
ETRANZACT,E-Tranzact International,5319.0,6.25,0.0,2024-04-25
EUNISELL,Eunisell Interlinked Plc,3297926.3,3.2,,2024-04-25
FBNH,FBN Holdings Plc,23439975.0,19.75,-2.15,2024-04-25
FCMB,FCMB Group Plc,1242844.0,7.1,0.6,2024-04-25
FIDELITYBK,Fidelity Bank Plc,10012941.0,9.0,0.0,2024-04-25
FIDSON,Fidson Healthcare,126311.0,14.35,-1.55,2024-04-25
FLOURMILL,Flour Mills Nigeria,413607.0,30.5,0.0,2024-04-25
FTNCOCOA,FTN Cocoa Processors,2035258.0,1.44,0.09,2024-04-25
GEREGU,Geregu Power Plc,6917.0,1000.0,0.0,2024-04-25
GOLDBREW,Golden Guinea Breweries,10.0,3.15,0.0,2024-04-25
GOLDINSURE,Goldlink Insurance,3297926.3,0.2,,2024-04-25
GTCO,Guaranty Trust Holding,81407397.0,36.0,0.25,2024-04-25
GUINEAINS,Guinea Insurance,1606004.0,0.33,-0.01,2024-04-25
GUINNESS,Guinness Nigeria,55476.0,54.0,0.0,2024-04-25
HONYFLOUR,Honeywell Flour Mill,388029.0,3.19,0.0,2024-04-25
IKEJAHOTEL,Ikeja Hotel Plc,115298.0,7.26,0.0,2024-04-25
IMG,Industrial & Medical Gases,5045.0,13.75,0.0,2024-04-25
INFINITY,Infinity Trust Mortgage Bank,3297926.3,7.04,,2024-04-25
INTBREW,International Breweries,139080.0,4.5,0.0,2024-04-25
INTENEGINS,International Energy Insurance,113244.0,1.29,0.0,2024-04-25
JAIZBANK,Jaiz Bank Plc,2797449.0,1.98,0.0,2024-04-25
JAPAULGOLD,Japaul Gold and Ventures Plc,14592542.0,2.1,0.09,2024-04-25
JBERGER,Julius Berger Nigeria Plc,87446.0,58.5,0.0,2024-04-25
JOHNHOLT,John Holt Plc,4690.0,1.98,0.0,2024-04-25
JULI,Juli Plc,3907.0,9.49,0.0,2024-04-25
LASACO,Lasaco Assurance,157871.0,2.0,0.0,2024-04-25
LEARNAFRCA,Learn Africa,58898.0,3.0,0.0,2024-04-25
LINKASSURE,Linkage Assurance,3297926.3,0.95,,2024-04-25
LIVESTOCK,Livestock Feeds,1340044.0,1.38,0.03,2024-04-25
LIVINGTRUST,LivingTrust Mortgage Bank,3297926.3,3.27,,2024-04-25
MANSARD,AXA Mansard Insurance,724722.0,5.44,0.29,2024-04-25
MAYBAKER,May & Baker Nigeria,19077.0,6.0,0.0,2024-04-25
MBENEFIT,Mutual Benefits Assurance,1192600.0,0.55,-0.02,2024-04-25
MCNICHOLS,McNichols Plc,103451.0,1.26,0.11,2024-04-25
MECURE,MeCure Industries,1115.0,9.72,0.0,2024-04-25
MEDVIEWAIR,Medview Airline Plc,3297926.3,1.62,,2024-04-25
MEYER,Meyer Plc,3297926.3,5.6,,2024-04-25
MORISON,Morison Industries,56820.0,3.72,0.0,2024-04-25
MRS,MRS Oil Nigeria,413903.0,135.0,0.0,2024-04-25
MTNN,MTN Nigeria,2779127.0,201.6,-22.4,2024-04-25
MULTITREX,Multi-Trex Integrated Foods,3297926.3,0.36,,2024-04-25
MULTIVERSE,Multiverse Mining & Exploration,80.0,13.75,0.0,2024-04-25
NAHCO,Nigerian Aviation Handling Co.,5549704.0,32.5,-0.5,2024-04-25
NASCON,National Salt Company,26286.0,52.55,0.0,2024-04-25
NB,Nigerian Breweries,20538055.0,27.95,-0.05,2024-04-25
NCR,NCR Nigeria,2236.0,4.32,0.0,2024-04-25
NEIMETH,Neimeth International Pharma,3151865.0,1.98,0.18,2024-04-25
NEM,N.E.M. Insurance Company,176631.0,10.35,0.0,2024-04-25
NESTLE,Nestle Nigeria,571385.0,820.0,0.0,2024-04-25
NGXGROUP,Nigerian Exchange Group,21142.0,21.15,0.0,2024-04-25
NIDF,Nigeria Infrastructure Debt Fund,2000.0,114.0,0.0,2024-04-25
NIGERINS,Niger Insurance Company,3297926.3,0.2,,2024-04-25
NNFM,Northern Nigeria Flour Mills,243.0,48.3,0.0,2024-04-25
NOTORE,Notore Chemical Industries Plc,3297926.3,62.5,,2024-04-25
NPFMCRFBK,NPF Microfinance Bank,356950.0,1.65,0.05,2024-04-25
NSLTECH,Secure Electronic Technology,30000.0,0.6,0.0,2024-04-25
OANDO,Oando Plc,21366528.0,9.1,-1.0,2024-04-25
OKOMUOIL,Okomu Oil Palm,248648.0,246.5,-0.5,2024-04-25
OMATEK,Omatek Ventures,5645015.0,0.83,0.0,2024-04-25
PHARMDEKO,Pharma-Deko Plc,3297926.3,1.83,,2024-04-25
PREMPAINTS,Premier Paints,3297926.3,10.0,,2024-04-25
PRESCO,Presco Plc,145259.0,231.5,0.0,2024-04-25
PRESTIGE,Prestige Assurance Company,1167465.0,0.6,0.0,2024-04-25
PZ,PZ Cussons Nigeria,75345.0,38.0,0.0,2024-04-25
RAKUNITY,RAK Unity Petroleum Company,3297926.3,0.3,,2024-04-25
REDSTAREX,Red Star Express Plc,24470.0,3.38,0.0,2024-04-25
REGALINS,Regency Alliance Insurance,133050.0,0.41,0.0,2024-04-25
RESORTSAL,Resort Savings & Loans,3297926.3,0.2,,2024-04-25
RONCHESS,Ronchess Global Resources,3297926.3,81.0,,2024-04-25
ROYALEX,Royal Exchange,4108644.0,0.62,-0.06,2024-04-25
RTBRISCOE,RT Briscoe,99434.0,0.64,0.0,2024-04-25
SCOA,SCOA Nigeria,162.0,2.15,0.0,2024-04-25
SEPLAT,Seplat Petroleum Development Co.,5439.0,3370.0,0.0,2024-04-25
SFSREIT,Skye Shelter Fund Plc,3297926.3,101.35,,2024-04-25
SKYAVN,Skyway Aviation Handling Co. Plc,2576.0,22.95,0.0,2024-04-25
SMURFIT,Smart Products Nigeria,3297926.3,0.2,,2024-04-25
SOVRENINS,Sovereign Trust Insurance,500000.0,0.4,-0.04,2024-04-25
STACO,Standard Trust Assurance,3297926.3,0.48,,2024-04-25
STANBIC,Stanbic IBTC Holdings,6491769.0,45.0,0.0,2024-04-25
STDINSURE,Standard Alliance Insurance,3297926.3,0.2,,2024-04-25
STERLINGNG,Sterling Bank,3317356.0,4.23,0.01,2024-04-25
SUNUASSUR,Sunu Assurances Nigeria Plc,552467.0,1.21,0.11,2024-04-25
TANTALIZER,Tantalizers Plc,213143.0,0.32,0.0,2024-04-25
THOMASWY,Thomas Wyatt Nigeria,315000.0,1.78,-0.19,2024-04-25
TIP,The Initiates Plc,7581336.0,1.98,0.18,2024-04-25
TOTAL,Total Nigeria,23057.0,321.5,-25.0,2024-04-25
TOURIST,Tourist Company of Nigeria,3297926.3,2.5,,2024-04-25
TRANSCOHOT,Transcorp Hotels Plc,137719.0,87.93,-9.77,2024-04-25
TRANSCORP,Transcorp Nigeria,8413693.0,13.9,-1.0,2024-04-25
TRANSEXPR,Trans-Nationwide Express,3297926.3,1.27,,2024-04-25
TRANSPOWER,Transcorp Power,351575.0,373.9,0.0,2024-04-25
TRIPPLEG,Tripple Gee & Co. Plc,900.0,4.13,0.0,2024-04-25
UACN,UAC of Nigeria,340165.0,11.4,0.0,2024-04-25
UBA,United Bank for Africa,41599983.0,22.7,-0.3,2024-04-25
UCAP,United Capital Plc,7011209.0,17.0,-0.2,2024-04-25
UHOMREIT,Union Homes Real Estate Inv.,3297926.3,36.6,,2024-04-25
UNHOMES,Union Homes Savings & Loans,3297926.3,3.02,,2024-04-25
UNILEVER,Unilever Nigeria,728479.0,15.1,0.8,2024-04-25
UNIONDICON,Union Dicon Salt,375.0,8.1,0.0,2024-04-25
UNITYBNK,Unity Bank,775431.0,1.75,0.0,2024-04-25
UNIVINSURE,Universal Insurance Company,17112803.0,0.37,0.01,2024-04-25
UPDC,UPDC Plc,1757212.0,1.35,0.12,2024-04-25
UPDCREIT,UPDC Real Estate Investment Trust,414744.0,4.05,0.0,2024-04-25
UPL,University Press,37404.0,2.46,0.0,2024-04-25
VANLEER,Greif Nigeria,3297926.3,5.45,,2024-04-25
VERITASKAP,Veritas Kapital Assurance Plc,2591033.0,0.6,0.01,2024-04-25
VFDGROUP,VFD Group,38.0,202.9,0.0,2024-04-25
VITAFOAM,Vitafoam Nigeria,258839.0,17.15,0.0,2024-04-25
WAPCO,Lafarge Wapco,593477.0,36.0,0.0,2024-04-25
WAPIC,Wapic Insurance,1757798.0,0.65,-0.02,2024-04-25
WEMABANK,Wema Bank,518886.0,7.0,0.0,2024-04-25
ZENITHBANK,Zenith Bank Plc,46155986.0,36.6,0.6,2024-04-25
